manuscript-plate-fragment,identifier
11Q18-617-3,98cdbc658423042a36656528d90d2175562283c0aa93fd8a18555be1e45e2bfa
11Q21-567-5,20f37a7a9fb8c94a29c9403132e3f2fa909f5f0aee1fb595e796e1595459c32a
11Q21-619-9,8e6c4dbd7a04536bf9f8c07728b0901cb2599030e97833ade9d5329b8d13f54a
11Q25-567-11,b0d5bc8e8e794dbbd95049df9c3f2a7871e5a4ac3dca14b63b94c06b2638b25d
11Q25-581A-7,f105fc756fd23e1c59c253105fc0a7817b9a3c65cbb9fb5c0a75c6736ab4e215
11Q25-581A-9,10f26b3293585ea4a13ad504bb2428281996b77246f3df8fa6ca2dac85dd722b
11Q25-614-7,7087cff76f2f04586ea21a1023294cd5511a48c0ca54c2f7da401b40b574c145
11Q3-576-5,5b82f68854413033dd4c10fcafd7de1a1144b35403bce7e5cd9a74332c3d7a1f
11Q5-977-1,d3f51891556688dab0193d613e2b415d94eeb2c206459df307b378637a3ad4fa
11Q5-977-2,d658101b2093c88d62886d1b809bf7066c874e9dab8e66a0c38ec30ef8561fd9
11Q5-977-3,702e049df3a3ef8c3a50893334fd24e2e015208860f2c17c706807bdc01e472e
11Q5-977-4,a6efad74adca73ff74ae25bbeecd0aa4dfe66fa4eb294ead29ad5d6f7b13572d
11Q6-606-1,1afe7296dbd8fc53febaee6019aff6712ef65081b77b1a5d862ff80df578e7a0
11Q6-576-2,b0699ecf066d2e1bcf882ff74b1b64c5b96b61c48de49b90fd06cb8e9c3a9632
11Q6-576-3,2baab16f60123b3fa9fe57de066eab2afe877753498ac7aa20dc62361c3feee0
11Q6-576-4,20b14247d35f4fe684c874fddb96275dffebaedd34aa55d6225d1941010e2c5d
11Q6-613-7,b947354be4e17c76f6bf47d5c4bf49a7659d00d838572eb8e8cb96acba5ef042
11Q7-606-1-1,1858e4bdf7bf2c5b31a581a59244dd6981d3e8ded32f13b27a0ba91752d9f2f9
11Q7-606-1-2,6cfbb1d749965f728dbfefcd89ea5b26c14df35def093e2b99796d97f57f8816
11Q7-606-1-3,6bda60054aed317b800dc4d70e12142fb7fbc702063becc23368b528edaeaeca
11Q7-606-1-4,2afc6ea063655c74d86465b14311ff8f6b550b86ebe99d2a3df299e73b20b00b
11Q7-1027-1,3ba85bf784471cfba31d3e46d59c77b9190df253e99c8acadca07aab49baed8a
11Q7-614-4,e988fceb281603b60372066ee8ec59d7a99c2b0e553a5b668fa972331dc440fa
11Q7-614-16,34a0463f89cf4c5c69db057900776bc271061c7419728ab275311fea51377b64
1Q28b-1000-1000-1,ac145e625e3aa6a97cd5d89d6a50dfb45d48e7b5d3abcc08af6aef24bc068bab
1Q28b-1000-1000-2,53689d3c8573bb68049696fdbc12ec0186fda237993e62aaa116198c97df8b7f
1Q28b-1000-1000-3,dd49615a99fc4c8d58b611153c058b84c13ace294a9344a60ec6bc9632bf881c
1Q28b-1000-1000-4,e0f601582ec5644b4d4c7125ef66e4b9500a2f354fee0a6d15e3be3244efdf1
1Q28b-1000-1000-5,8c7748e5a304100979d842975771e36e61103c7a9860d902c597301711b1f2a7
1Q28b-1000-1000-6,2997c373d76fd474533e0ee04dd4887d4336bddcefe3af9f424215a3a5118bdc
1Q28b-1000-1000-7,3d0307a62ce2d3340c2eb27eb25fbb00862787873a7db5fab236aad0c707da3
1Q28b-664-664-1,8000cda95f2f98aa01059e6ee2ab6229c4964ef4901a5e9d42e6edbfb13db84
1Q28b-664-664-2,9b654273155841ee1ca7370090b548af9aa0eebfb4703605297d00d491923b44
1Q29-663-2,ff2f90dec2c931a445fd86fa63b9093ac5bf7ff91e567e3f4b272c2759a6ae35
1Q29-663-3,4a10d99903cbf552a6a8354e8c5b5410fb6f4792a76afa13fb837b4023501629
1Q29-663-4,739f9f89f31b8e5934e137ecdbfa1d80e0969a4b15e082a6cf2e31d3c25fbf2d
1Q29-663-5,11cb6349e8a9480d2f704fa2213896cb7f6fd43e70393af50752e2a796995481
1Q29-663-6,ad0c26ec34ad054e59047ba5e936017eeda2c19cf0e36c905e0caba8fb14fab3
1Q29-663-7,c83a174eb2ad6e9452a3a355958a4831ee2d08b148b2ff4ede6eb4d55516d5fa
1Q29-663-8,9e2aff5aee683d72fb8638ada43e6d03d8749c478d7c0e00641e3881c8d0b24a
1Q29-663-9,1543b809621cf915c72e28ac32908a04e272cd57d6d2e99fde169c9fe54f3fa3
1Q29-663-10,37d7642c2bf581a7223574474d52c5a2a2f4bc28e56b23cc33bd578651a39547
1Q29-663-11,fe4076261c7317f1d2af88b47ca3133f0a2fd5de053fa01f735d0bf712568760
1Q29-663-12,27dc2472c6c3e057832b180f66da5d550e78f7ed44ddb7ed9ba67aca77cb8b60
1Q29-663-13,c88b24fd1f2bb1f5407556a9960216e35baf61511dd654c1bee66c4da87aa7be
1Q29-663-14,f4ef1c27bd8f1ef0477d539f6fa2aa304d62b35f48034c68998154c27679175f
1Q29-663-15,f697a7ea873b3992a8951fe256b0ec842caeab5c21db09168199d355b92aeffc
1Q29-663-16,6f37e6911e0b6d43aae381bd8a856f955540b446e743ea624f311c8ed4cf3967
1Q29-663-17,1629ab4be6347f0dec7648ce2893dd1d719f304221b648887442a2e634eaef2
1Q29-663-18,7a673a38c51dea9f42afeaac5ec3d23b4ac4c9a24fa46373ccde372dc8875071
1Q29-663-19,5f58d99bae5ee6d7fe3ed8041bac8828f377cda204ff276aea8a07db621728e9
1Q29-663-20,65c05a4cb8f25a1c1a184b70f33e7b38bca8a06789ba647e37ced5fc936961d0
1Q5-673-1,3cf9250deb914717d6b722c1447b90bcccdef806d2e307796c8b8933b00e561e
1Q5-673-2,7bf8ddea6c20d0211d2b69ddbd93678f5d16b0a13ac5a13d4117936f10eca7e
1Q5-673-3,71cfb7f774d7463c64b9e7a1871101017fb91f9f39da52338185f9468c2b3cd2
1Q5-673-4,532c093a4df2eee06f41719e04972151575ab57e1693b4a8f43b558496e62f60
1Q5-673-5,ef233deb3f5b0b147c997d5db9a12f8cc3533c43c42ccdad32b49c1e76ca1b29
1Q5-673-6,cf13f4a356308b1aeaca6bce29ce5d0c69a6ff236b0b253d868d4c4bd3735f3b
1Q5-673-7,503bdd2dcf16a1d96272a7ba87d5ef43f8602b43025d43e3d09b67ac11ceb69a
1Q5-673-8,171837534f737471b01d01f0d04db8b4c74fa9fa315b47e6f73feb30c011a408
1Q5-673-9,b6f50928365c6efd6e00fd6e5265c4b38a64c1b150eb35f62f2e96b8bc8b6746
1Q5-673-10,ba3856030622052f6699d63740d222bac7427e37d9ca25585c7708317e44fff9
1Q5-673-11,1e91e276e72fef9e36c6ffc02e56e74e367552483e1a409e39e8d44663780e54
1Q5-673-12,6be7ec49a30881ff4403726a747c02dae064d28485866d1b544c3fdad045d80b
1Q5-673-13,ed568117ff1f7c287f295d369719fba3f39c0624214541f1a6740dd1eb1c5aa4
1Q5-673-14,5103ce41a68f0aa2665ac363ecdb1c87aaa82f8e36da0d7d9d72e082517e1168
1Q5-673-15,640d3b67fca81041f1962f8209c1f631371807e1fe542cf3902cd503104c908e
1Q5-673-16,fd60c5bf844e562ae30f708e3b18aeba49db51cee0183de8c12b2fafae39e4f2
1Q5-673-17,deeddec7ba869b519c60a552fbca9b57c4c1f124275004bddfaa3521eba9a479
1Q5-673-18,24dc0068c383d86c8758dc943a96ab08f5ab4e3e2934ad7ba2cefbd8b45adece
1Q5-673-19,621611525919a0576e38bec3fdd06864d8977386dff73a47a0ab1d07f3cc77eb
1Q5-673-20,d06d996513dc315bf69d9541dd35fb750f7f689768911ae53826f3ce8a03aece
1Q5-673-21,b4e6df4de3d5384b0bdc5997ba487bdcbea75ee4308fcd45397b669258008969
1Q5-673-22,9ebba26d8cf427c237bb300f80776f70c88c5f9b31dac072ab6be0d5436a1ae1
1Q5-673-23,3c820f196bf9c917ccb15a253556c6ae97e5a0b9898e7b4cf32dc44e9862792d
1Q5-673-24,88b077978183f77726310cb0703b322b0e7ea85c9d864ceb8ba9547d0151da3b
1Q8-677-1,a27fcb0e149fcb2583fa21bf7566513d9347bcca2db35dcb4edc73e715b7a074
1Q8-677-2,bd31949eb2b368207ad0fcb2d69493f0620769dc030d0449f788981e60ad1380
1Q8-677-3,55da4958a5d38c7fcf167fc1750c3709e704286cf5f7e63685be2d1fcbef879
1Q8-677-4,c7123bc4337a83df68fee29b1d7e0ca1c948ea0995e76f9356a4714a0a8fea9e
1Q8-677-5,9cebb0fdd11379f99ecc603ab5b52dab209dee0829299d6b1fee49a8b37d6c56
1Q8-677-6,503dbdcb85af93553fea0ceae15f0c8313e2d68f7f36691c41eff3c96b8c4e15
1Q8-677-7,ff69ef4302f84c5b8c46ba77ebb9014541e53ebe6964d47d96828f6814b0eee7
1Q8-677-8,aff03101c44bc34a57f39e1cddbbd64d729f0da6301b2542dceecaece29c42b5
2Q1-643-1,5307349e54e1acca147a0e77146ec5b1a4be978562bf835228d642f08c846d73
2Q1-643-2,d4b81fa05f0e4e0783b0f7a8821fbdaac96387c65d8b71cd38f0f97797118581
2Q13-741-1,9fd902283241962556026ec25abc5d219f6b57ffabe9ce96d649490424621720
2Q13-741-2,28716866cee26d28c234ba6150f3752cd773d8fec25e479eea610a89cc9ee9be
2Q13-741-3,3becaa21475cbb4d0842ac904ee6f793161576088d06f511da3e7ada20c4f98a
2Q13-741-4,a72c4c3c678a464a140bacc4322dcd51621bc74b1fec58471ddb47bffb641fe8
2Q13-741-5,8c22958717350456561482291c728394111b914907adfd5c7323d1d376f517a3
2Q13-741-6,230c2f978af2bd023d96a059fc62a89b01a51ece3fa60b5c50163904fa4d68eb
2Q13-741-7,e54c8e4b0398081b8e35aaab6e2ce36d8f01f6cddc2d3474f800db47a79665b
2Q13-741-8,8814afab6435d1e627d08afba9f1d07565f841439408b35a746cf26acdea5355
2Q13-741-9,93d4bb48635ad02f4cb4f7fdd7840dcf6c8ee5cc91c7e956becd456b0c11d113
2Q13-741-10,d031c1752d8ae02c692a38909df8e854ee9ad446e05fd9322def3e97ab04e035
2Q13-741-11,6dc5ad39f861023801717b6fcbe868bfc25cda91d70d509e7d8340cd9930bbe6
2Q13-741-12,6c21f6e9bdc7ef30ae79d9b9b90f250936df0505baffe36fdedc74aa440375b0
2Q13-741-13,71137eda63257e130b529123a974f5454ab543f62ae33086048a12007913998
2Q13-741-14,9ce7eb2a41b5d0d4c05054fd0044d2ba76f246b0a7bdcc2d927238fa4d6b3634
2Q13-741-15,c62b8a6ee7379b581218a9f2d33a6f99bd884aee59be8bff799e25303156faff
2Q13-741-16,db50b787dd69c235894b97b5f5e72616eb69a215944dd0319726bedc18a5eb34
2Q13-741-17,2ddd7f9e769c7d161ed5357ac77b6b22fbfed787b144c025230bfdb26807da46
2Q13-741-18,3f495243390c1056862b2af7df02afd0febe20413c790b063820fda287b7e67b
2Q13-741-19,443bbd3f0d10c863b30db3966e78f368d6bfa0fcabc8b3f8c9e39d8bcef11680
2Q13-741-20,4d6f3104841ea35003e5ed48c4ee6c2c92d649b2d942ad40efcd326db51623b3
2Q13-741-21,e3f275afb10eac877ce750d2c5bcb8daf7e0d9972a8bcff0f325d0c8ca0be2f9
2Q13-741-22,84c6bb265854a08418f2acb0481893ea51ee533828162ebae138c35279e63e7d
2Q13-741-23,a427a4f680e7e4a5883af86d9c4b7cbb0a76cf43ca9bb2290d9cb395014d3ec5
2Q17-644-2,1cc6d0df1ffe8c5d04a6874b9636ab31b872b58b9e5439bfc7ab2dbf28722d9f
2Q17-644-5,1cd58b1dfe24f4d7cf8411356331ac72c746e96cb5a405a8772bef0fac70400c
2Q18-644-1,cfbddc02fae0b9ae57aaf85f0b171885758149828f88b2530a1f4f465413665
2Q2-643-3,d8397ed435387db942443d6d8783320dfc328bc36a6dff1d85236da9847d6d93
2Q2-643-4,92de90645bd4e60b756b749a1afb8ce4745459522c87b5e533903f2fe1abdb4c
2Q2-643-5,87a6c0d2cdc0e546b684a83579e04a773883b11ae61103d29440400eb6ef2cbd
2Q2-643-6,bf3efa97e42c5a1d52d059097be4840130763a0400eaca20ed993a7df2a52c2a
2Q2-643-7,4fafa9d38cf0c8208d72e910dd1d3dfcfcd40c6b50e54729e6fd3437e9ac17c3
2Q2-643-8,b1cda2d0188d4b7f995e4356b65c572ca82a02257472810ba68fc6daf7f4067c
2Q2-643-9,d621f7bad111c6bbef7046a6b6919fb003ab300a52e84e6edfd10814ff957f22
2Q2-643-10,c7beb2cc2422160b39af3d92b3bbe0473de9682cfb59434388af4b974b1bc6c5
2Q2-643-11,17325c2f5746a9197ae0769335e4d669e4a0f0d30e2a978015718cca3111d9e2
2Q2-643-12,5979a645f47ca65c7ea2e9011e213b6d8bea64d488108ae768d7faf5eb1c9d51
2Q21-644-7,fb5ef86ef4895ba0fdcb14908c6ba36609a358a72c2a3674057a778f6f5c1414
2Q21-644-9,834588587416f8287b6b163da8702fbae2f2ba553a389289316b235c3931c0d2
2Q22-644-10,7ebaa5cbd8dad08a7ef6a4b3a9477c7834acc6bdf43d75e8e8a22081d1f1e3e6
2Q23-644-12,1a31633cf358854ff7e7962aea42e2e748a457b817b3b3bcbd1c8ba97dad6e85
2Q23-644-13,c435bf64701e603e60fdfbc72cf3e1677a97cc9f6d02ea8aba0acaf2667c623b
2Q23-644-14,d7b47647a412b59ebca882af61f47468688dbee34b38287f8b468c56d05e97f
2Q23-644-15,1572be2b37a459a4d61ac14fae0f08fa9c032474a37f85e90245706ddb956453
2Q23-644-16,5b5c766134092ed35dfa50490714e5971ceeff22d1b1bd4c5fc9fa2bc49fdd13
2Q23-644-17,245669c730885a8f3fb985de559ac2eb6dcbb290ed486c1ab755b5adc901a190
2Q24-645-1,29a6eac01e7669fd1c74e9b8bb788e5b30ff81279d7ed0cfbf969343019f0f27
2Q24-645-2,a4c2586a39e089066eba41c3fe4b075cf098f4ae8c6f92ce4f7c0487186a6d9b
2Q24-645-3,7edfa50cef88c9edd2b9b55924678862366761fd2cd95a8046e072b8fcb52320
2Q24-645-4,f26f8aa7132719d9728778a24a3a7602ada171a42b4568a6287362d55cfc3a2d
2Q24-645-5,3c61fe6e9c3eca8694cc3fdca48256a6120d5640a83bad2c6f8b26e36b1f8c79
2Q24-645-6,5215b4b58a5cf027a249086ada1b7a034c609ccd958ccc18029624e6868debfa
2Q24-645-7,cd72f611d88db8013b76bc70610ca79c504047f05b69c8eff95e73943bcfc176
2Q24-645-8,cfd87ac13a2e740f78687de0687d912e4e4ca62b71eb188b02ea14b54557300f
2Q24-645-9,4e0bf4fd4a6b78c3979f8182375a6e7b58e4dd8554b1cad0de7de8e04f402fd
2Q33-740-19,41d96e0a2c640e24aa030fda026bda97039902390d350dfa59064c58b0456996
2Q33-740-20,ccc707d52146f38a642ab22b365eac245bc52588588b8ad5ed7f58280c076970
2Q33-740-21,f611fdf23a8d4d170cf07e55f8c27d3ada3fdd50324844bfc96a1db5ea9481e5
2Q33-740-22,ae37ef7db6093e78261f29cfee7b8a4672908f665a416604c96926c8ba481066
2Q33-740-23,e651bdf2a76e7af3f8123a0089cb6d75729255328d46f540696b68f3a0ab00b7
2Q33-740-24,78caa8b207745deef5ab4f98e412a0f3dd2af616b3b78c1a160914ca21544396
2Q33-740-25,a131f808a8b33c3bd2937f95e441e50c156b3d7dd18e4500f5df6cef9de172f2
2Q33-740-26,ebdf33edb1f2e9e3eb4464610da155f2d2d5da6801b1c097c1d9f3a81b68d072
2Q33-740-27,bb9b4cbc3eb493de687d026d46c9f05111cffe195f75ed2f423c3a5315fd26a5
2Q33-740-28,d35752b71ff78ea2245191a185e7fab88cbd16d337f220b12d2a758cadaae36b
2Q4-742-2,bc1435151a9a0c398ad64e83d9f71f90d2b9248ed71330dfda94f961dd76eec7
3Q11-745-15,52c31a7f98dd9e4910bd8b618162f7462dad2710a7641f91107a2c9b007dfcbf
3Q11-745-16,67579de8f222fbc113707d27cefe608a2903d812cc5e32407b0d440ed4425399
3Q14-745-24,cfe1d468825cda5dd7f96da0436aa1c3114eb0d26fac8c2f7031887be3733f1b
3Q14-745-25,156edcff242067ac0c9b2d6942af7fea0e272b58ce61234a947475c33ed725cd
3Q14-745-26,ee99dd46915d811be00bee4a68ce34b345136a952b6959674508c5be5830a6d5
3Q14-745-27,929eca2869729781292b8d314daca0a21c561fcac029a0dcd043f47968df6ab1
3Q14-745-28,74e119eb252fb696fd44ae7a3e0803956b49417b65587ebaca5b0b44c710e327
3Q14-745-29,e21a8a4675f8e47d2d16f543246bd524dc3793d485ea1768c0ce1187252a46ed
3Q4-648-1,e28db8c1646f03fc1aa0155e1c3a30fc451a27f8ace88fc830736237a876e10d
3Q5-648-6,b9a5b1c6e7248861e242187a441d8fe351e9c00e06eba0ba25172353be56a0ae
3Q6-648-13,c56fe7667f9e72c1be61d98c091cfcf0897cb93da58bf0fc0c1bb1b1bb05f9bc
3Q7-648-15,9ba38286e9215df9403dfda9fc575cbf162c3ca49503cd37b05b660e61dffeb0
